city,category,hotel_1,value_1,name_1,hotel_2,value_2,name_2,hotel_3,value_3,name_3,hotel_4,value_4,name_4
San Diego,sleep_quality,550891,5.0,Ensenada Court Condo,1647864,4.8,Ebony Inn Motel,1147616,4.5,Palomar San Diego - A Kimpton Hotel,272662,4.4,Fairfield Inn & Suites San Diego Old Town
San Diego,rooms,550891,5.0,Ensenada Court Condo,781627,4.9,The Grand Del Mar,574448,4.8,Britt Scripps Inn,244513,4.7,Staybridge Suites San Diego Rancho Bernardo Area
Phoenix,service,3405788,5.0,Skyline Inn Phoenix Airport,1160841,5.0,The Hotel Waterfront Ivy,2627745,4.9,Hotel Palomar Phoenix - a Kimpton Hotel,73923,4.8,Drury Inn & Suites Phoenix Airport
Phoenix,cleanliness,3405788,5.0,Skyline Inn Phoenix Airport,1160841,5.0,The Hotel Waterfront Ivy,2015227,4.9,Westin Phoenix Downtown,2627745,4.9,Hotel Palomar Phoenix - a Kimpton Hotel
Phoenix,overall,1160841,5.0,The Hotel Waterfront Ivy,2627745,4.8,Hotel Palomar Phoenix - a Kimpton Hotel,2015227,4.7,Westin Phoenix Downtown,1485459,4.7,Homewood Suites Phoenix Airport South
Phoenix,value,3156712,5.0,EZ 8 Motel Airporter,3405788,5.0,Skyline Inn Phoenix Airport,1160841,5.0,The Hotel Waterfront Ivy,248358,4.9,Anchorage Point
Phoenix,location,1160841,5.0,The Hotel Waterfront Ivy,2627745,4.9,Hotel Palomar Phoenix - a Kimpton Hotel,1201061,4.8,Homewood Suites Phoenix North - Happy Valley,73923,4.7,Drury Inn & Suites Phoenix Airport
Phoenix,sleep_quality,1160841,5.0,The Hotel Waterfront Ivy,2627745,4.8,Hotel Palomar Phoenix - a Kimpton Hotel,2015227,4.7,Westin Phoenix Downtown,1605022,4.5,Drury Inn & Suites Happy Valley
Phoenix,rooms,1160841,5.0,The Hotel Waterfront Ivy,2015227,4.9,Westin Phoenix Downtown,1201061,4.9,Homewood Suites Phoenix North - Happy Valley,2627745,4.8,Hotel Palomar Phoenix - a Kimpton Hotel
Dallas,service,109075,5.0,Terra Cotta Inn,2280220,4.8,La Quinta Inn & Suites Dallas Love Field,109468,4.8,Baymont Inn & Suites Dallas Love Field,1235854,4.7,Comfort Suites Dallas
Dallas,cleanliness,109075,5.0,Terra Cotta Inn,2280220,4.9,La Quinta Inn & Suites Dallas Love Field,1845655,4.9,Hampton Inn & Suites Dallas/Cockrell Hill I-30,122703,4.8,Grand Hyatt DFW
Dallas,overall,109075,5.0,Terra Cotta Inn,2280220,4.8,La Quinta Inn & Suites Dallas Love Field,122703,4.6,Grand Hyatt DFW,109468,4.6,Baymont Inn & Suites Dallas Love Field
Dallas,value,1474749,5.0,Inn of the Dove,109075,5.0,Terra Cotta Inn,2280220,4.8,La Quinta Inn & Suites Dallas Love Field,109468,4.8,Baymont Inn & Suites Dallas Love Field
Dallas,location,1235854,4.7,Comfort Suites Dallas,2280220,4.6,La Quinta Inn & Suites Dallas Love Field,1657223,4.6,Holiday Inn Express Hotel & Suites Dallas West,109345,4.6,Hotel Lumen - a Kimpton Hotel
Dallas,sleep_quality,2280220,4.8,La Quinta Inn & Suites Dallas Love Field,2192761,4.7,Omni Dallas Hotel,109468,4.7,Baymont Inn & Suites Dallas Love Field,1657223,4.6,Holiday Inn Express Hotel & Suites Dallas West
Dallas,rooms,2280220,4.8,La Quinta Inn & Suites Dallas Love Field,122703,4.7,Grand Hyatt DFW,2192761,4.7,Omni Dallas Hotel,109468,4.7,Baymont Inn & Suites Dallas Love Field
San Jose,service,226141,4.6,Extended Stay America - San Jose - Santa Clara,1887026,4.4,HYATT House San Jose/Silicon Valley,81302,4.4,La Quinta Inn San Jose Airport,223968,4.4,TownePlace Suites San Jose Cupertino
San Jose,cleanliness,223968,4.8,TownePlace Suites San Jose Cupertino,1887026,4.7,HYATT House San Jose/Silicon Valley,226141,4.6,Extended Stay America - San Jose - Santa Clara,256800,4.6,Hotel Valencia - Santana Row
San Jose,overall,654166,5.0,Adlon Hotel,226141,4.5,Extended Stay America - San Jose - Santa Clara,267662,4.5,Studios Inn,1887026,4.4,HYATT House San Jose/Silicon Valley
San Jose,value,654166,5.0,Adlon Hotel,1887026,4.6,HYATT House San Jose/Silicon Valley,226141,4.5,Extended Stay America - San Jose - Santa Clara,223968,4.5,TownePlace Suites San Jose Cupertino
San Jose,location,81677,4.4,Extended Stay America - San Jose - Downtown,1017214,4.3,Townhouse Motel,225266,4.2,Extended Stay America - San Jose - Edenvale - South,81710,4.2,Motel 6 San Jose Convention Center
San Jose,sleep_quality,1887026,4.4,HYATT House San Jose/Silicon Valley,226141,4.4,Extended Stay America - San Jose - Santa Clara,81302,4.0,La Quinta Inn San Jose Airport,119610,4.0,Extended Stay America - San Jose - Airport
San Jose,rooms,654166,5.0,Adlon Hotel,1887026,4.5,HYATT House San Jose/Silicon Valley,256800,4.4,Hotel Valencia - Santana Row,226141,4.3,Extended Stay America - San Jose - Santa Clara
Jacksonville,service,1566763,4.8,Fairfield Inn & Suites Jacksonville West/Chaffee Point,1549318,4.8,Sleep Inn & Suites - Jacksonville,1214730,4.7,Hotel Indigo Jacksonville Deerwood Park,1391989,4.7,Courtyard by Marriott I-295/East Beltway
Jacksonville,cleanliness,1566763,4.9,Fairfield Inn & Suites Jacksonville West/Chaffee Point,1214730,4.9,Hotel Indigo Jacksonville Deerwood Park,1391989,4.9,Courtyard by Marriott I-295/East Beltway,816772,4.9,Staybridge Suites Jacksonville
Jacksonville,overall,120141,5.0,The Beach Landing Motel,1566763,4.8,Fairfield Inn & Suites Jacksonville West/Chaffee Point,1214730,4.7,Hotel Indigo Jacksonville Deerwood Park,1391989,4.7,Courtyard by Marriott I-295/East Beltway
Jacksonville,value,1566763,4.8,Fairfield Inn & Suites Jacksonville West/Chaffee Point,1231084,4.7,Hyatt Place Jacksonville Airport,1214730,4.7,Hotel Indigo Jacksonville Deerwood Park,1549318,4.7,Sleep Inn & Suites - Jacksonville
Jacksonville,location,84644,4.7,Super 8 Motel Jacksonville,1231084,4.6,Hyatt Place Jacksonville Airport,1391989,4.6,Courtyard by Marriott I-295/East Beltway,816772,4.6,Staybridge Suites Jacksonville
Jacksonville,sleep_quality,1566763,4.8,Fairfield Inn & Suites Jacksonville West/Chaffee Point,88398,4.3,Crowne Plaza Jacksonville Airport Hotel,84649,4.0,Quality Inn Of Orange Park,217076,4.0,Days Inn Jacksonville South
Jacksonville,rooms,1231084,4.8,Hyatt Place Jacksonville Airport,1566763,4.8,Fairfield Inn & Suites Jacksonville West/Chaffee Point,1214730,4.8,Hotel Indigo Jacksonville Deerwood Park,816772,4.8,Staybridge Suites Jacksonville
Austin,service,288742,5.0,Austin Motor Inn,656307,5.0,Economy Inn Austin,3523356,4.9,Hampton Inn & Suites Austin @ The University/Capitol,2008152,4.8,Travaasa Austin
Austin,cleanliness,273366,5.0,The Quarters at Hardin House,288742,5.0,Austin Motor Inn,656307,5.0,Economy Inn Austin,3523356,4.9,Hampton Inn & Suites Austin @ The University/Capitol
Austin,overall,288742,5.0,Austin Motor Inn,223685,5.0,Hearthside Extended Stay Studios and Suites,2008152,4.7,Travaasa Austin,1762662,4.7,La Quinta Inn & Suites Austin/Cedar Park/Lakeline
Austin,value,288742,5.0,Austin Motor Inn,220077,5.0,Walnut Forest Motel,656307,5.0,Economy Inn Austin,1751886,4.9,Microtel Inn & Suites by Wyndham Austin Airport
Austin,location,288742,5.0,Austin Motor Inn,2008152,4.7,Travaasa Austin,604457,4.7,Residence Inn Austin Downtown / Convention Center,1189576,4.6,AT&T Executive Education and Conference Center
Austin,sleep_quality,1762662,4.8,La Quinta Inn & Suites Austin/Cedar Park/Lakeline,2008152,4.7,Travaasa Austin,3263489,4.7,Sleep Inn & Suites,1675976,4.6,The Westin Austin at The Domain
