category,hotel,value,name
service,99302,1.8,The Bentley Hotel
service,93376,3.6,Stay.
service,673077,4.0,Comfort Inn Times Square South
service,93437,3.1,Edison Hotel Times Square
service,93575,4.2,The Franklin
service,217622,3.2,Dylan Hotel
service,112019,2.8,Chelsea Savoy Hotel
service,223021,3.0,Club Quarters Midtown
service,93486,3.3,Millennium Hotel Broadway
service,93339,3.6,Hilton Manhattan East
service,99774,3.1,La Quinta Inn Manhattan
service,93466,3.1,Doubletree Hotel Metropolitan - New York City
service,281697,3.4,The Alex Hotel
service,93593,3.5,The Westin New York Grand Central
service,93398,3.7,60 Thompson - A Thompson Hotel
